Model,Best Params,Accuracy,Precision,Recall,F1,ROC AUC,CV Score (Mean)
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.7467532467532467,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.822037037037037,0.8248131229235881
SVM,"{'C': 0.1, 'kernel': 'linear'}",0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.812962962962963,0.8425526024363232
Logistic Regression,"{'C': 1, 'penalty': 'l2'}",0.7012987012987013,0.5869565217391305,0.5,0.54,0.8127777777777777,0.8432295127353268
Random Forest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.8114814814814815,0.8339216500553709
